# Program:featureCounts v1.6.2; Command:"featureCounts" "-T" "24" "-F" "GFF" "-t" "gene" "-g" "ID" "-s" "2" "-a" "/mnt/data/transcriptomica/iperez/proyectofinal/data/genomes/E_coli_and_T4_fixed.gff" "-o" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/featureCounts/gene_counts.txt" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013136.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013137.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013138.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013139.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013140.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013141.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013142.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013143.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013144.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013145.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013146.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013147.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013148.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013149.bam" "/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013150.bam" 
Geneid	Chr	Start	End	Strand	Length	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013136.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013137.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013138.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013139.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013140.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013141.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013142.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013143.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013144.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013145.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013146.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013147.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013148.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013149.bam	/mnt/data/transcriptomica/iperez/proyectofinal/exp/alignment_phage_bacteria_results//SRR21013150.bam
gene-b0026	ENA|U00096|U00096.3	22391	25207	+	2817	1674	4861	3321	9384	13833	5807	27887	24446	13427	32032	43086	47327	23679	52912	50571
gene-b0027	ENA|U00096|U00096.3	25207	25701	+	495	159	494	296	963	1432	611	3121	2595	1483	3695	6105	6742	3022	5568	5659
gene-b0028	ENA|U00096|U00096.3	25826	26275	+	450	136	382	255	468	817	349	1696	1517	1006	2531	4211	5577	1797	4556	3303
gene-b0029	ENA|U00096|U00096.3	26277	27227	+	951	186	692	519	770	1619	603	3382	2845	2065	4958	7476	9694	3540	10252	5999
gene-b0030	ENA|U00096|U00096.3	27293	28207	+	915	9	40	22	34	88	30	96	141	217	176	291	384	169	472	397
gene-b0031	ENA|U00096|U00096.3	28374	29195	+	822	77	175	147	422	584	241	911	923	931	1764	2153	3314	1379	3102	2680
gene-b0032	ENA|U00096|U00096.3	29651	30799	+	1149	510	838	663	1095	1433	626	2309	1843	1746	8746	8105	16387	9482	12978	29743
gene-b0033	ENA|U00096|U00096.3	30817	34038	+	3222	1788	2660	2772	6166	5800	3322	16273	9193	9234	30791	25745	70238	55772	71154	180846
gene-b0034	ENA|U00096|U00096.3	34300	34695	+	396	2	13	13	24	27	16	41	38	337	217	287	502	204	327	405
gene-b0035	ENA|U00096|U00096.3	34781	35371	-	591	0	5	3	2	9	2	8	18	851	17	17	35	18	47	35
gene-b0036	ENA|U00096|U00096.3	35377	36162	-	786	0	3	2	3	11	5	4	12	371	20	26	32	17	38	28
gene-b0037	ENA|U00096|U00096.3	36271	37824	-	1554	4	12	5	13	34	11	52	58	462	75	118	154	40	146	91
gene-b0038	ENA|U00096|U00096.3	37898	39115	-	1218	7	27	17	26	47	15	55	81	405	190	368	415	100	242	161
gene-b0039	ENA|U00096|U00096.3	39244	40386	-	1143	15	76	34	92	165	66	203	254	886	609	974	1179	357	1159	992
gene-b0040	ENA|U00096|U00096.3	40417	41931	-	1515	2	0	1	2	6	3	10	8	633	13	24	39	15	39	21
gene-b0041	ENA|U00096|U00096.3	42403	43173	+	771	0	6	2	8	7	2	13	14	346	31	24	48	21	71	47
gene-b0042	ENA|U00096|U00096.3	43188	44129	+	942	2	3	4	13	17	6	17	17	420	39	57	84	32	62	57
gene-b0043	ENA|U00096|U00096.3	44180	45466	+	1287	1	8	0	6	8	2	13	13	616	29	32	64	12	45	41
gene-b0044	ENA|U00096|U00096.3	45463	45750	+	288	0	2	1	1	1	1	4	2	101	2	11	12	3	7	6
gene-b0045	ENA|U00096|U00096.3	45807	47138	+	1332	0	2	0	5	6	1	4	10	757	15	16	30	10	35	26
gene-b0046	ENA|U00096|U00096.3	47246	47776	+	531	4	17	11	12	33	9	42	49	291	103	150	242	92	218	212
gene-b0047	ENA|U00096|U00096.3	47769	49631	+	1863	16	77	57	75	137	47	205	238	1666	601	638	1037	422	994	911
gene-b0048	ENA|U00096|U00096.3	49823	50302	+	480	54	221	154	198	513	155	841	1064	718	975	1516	1818	510	1933	986
gene-b0049	ENA|U00096|U00096.3	50380	51222	-	843	107	339	246	378	683	248	1021	935	964	2896	3795	5752	1782	3970	3697
gene-b0050	ENA|U00096|U00096.3	51229	51606	-	378	80	305	233	450	1021	361	1582	1491	1005	2594	3756	5039	1667	4094	3500
gene-b0051	ENA|U00096|U00096.3	51609	52430	-	822	244	819	612	1262	2511	1018	4300	4057	2336	6073	8863	11500	3806	10067	7989
gene-b0052	ENA|U00096|U00096.3	52427	53416	-	990	132	437	279	578	1104	432	1925	1659	1483	4029	6175	8099	2775	5881	4846
gene-b0053	ENA|U00096|U00096.3	53416	54702	-	1287	472	1361	917	1747	3014	1343	5808	5052	3875	11905	16610	19402	8694	16495	16783
gene-b0054	ENA|U00096|U00096.3	54755	57109	-	2355	526	1895	1262	1865	3546	1302	5373	4962	4057	18617	21958	30656	11182	27108	22755
gene-b0055	ENA|U00096|U00096.3	57364	58179	+	816	95	251	208	232	535	163	697	715	956	2025	3162	4223	1432	3800	2901
gene-b0056	ENA|U00096|U00096.3	58474	59124	+	651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b0057	ENA|U00096|U00096.3	59121	59279	+	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b0058	ENA|U00096|U00096.3	59687	60346	-	660	56	154	145	401	785	345	1189	1122	1017	1471	1249	1475	636	1035	1147
gene-b0059	ENA|U00096|U00096.3	60358	63264	-	2907	315	938	694	1561	3183	1402	7245	7044	5670	7149	5845	7534	4038	7326	6949
gene-b0060	ENA|U00096|U00096.3	63429	65780	-	2352	30	100	51	93	154	70	199	182	671	791	1113	1606	537	1135	1424
gene-b0061	ENA|U00096|U00096.3	65855	66550	-	696	1	1	1	4	5	0	10	20	178	17	35	66	20	44	46
gene-b0062	ENA|U00096|U00096.3	66835	68337	-	1503	4	19	5	39	51	18	79	66	466	160	242	322	118	263	296
gene-b0063	ENA|U00096|U00096.3	68348	70048	-	1701	4	7	3	3	23	6	22	21	740	59	104	135	39	109	133
gene-b0064	ENA|U00096|U00096.3	70387	71265	+	879	13	32	24	35	51	22	66	52	612	296	390	642	237	571	644
gene-b0065	ENA|U00096|U00096.3	71351	72115	+	765	5	15	11	25	50	18	37	63	454	122	205	404	95	191	263
gene-b0066	ENA|U00096|U00096.3	72229	72927	-	699	4	12	9	9	19	12	62	48	348	105	123	138	52	95	141
gene-b0067	ENA|U00096|U00096.3	72911	74521	-	1611	9	32	15	27	54	12	72	75	780	168	141	202	99	249	219
gene-b0068	ENA|U00096|U00096.3	74497	75480	-	984	12	69	38	51	99	39	141	247	481	430	713	794	245	966	552
gene-b4762	ENA|U00096|U00096.3	75516	75608	-	93	1	4	2	5	6	2	16	14	18	35	39	58	17	62	49
gene-b0069	ENA|U00096|U00096.3	75644	77299	-	1656	26	74	40	73	100	42	166	149	501	547	766	1252	450	987	1164
gene-b4577	ENA|U00096|U00096.3	77367	77593	+	227	0	0	0	0	0	0	0	0	5	1	2	1	0	2	1
gene-b4662	ENA|U00096|U00096.3	77388	77519	+	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b0070	ENA|U00096|U00096.3	77621	78799	+	1179	18	51	38	59	125	58	111	167	894	677	1045	1807	408	1277	1243
gene-b0071	ENA|U00096|U00096.3	78848	79453	-	606	32	70	66	114	144	71	288	210	364	669	651	1433	680	1220	1749
gene-b0072	ENA|U00096|U00096.3	79464	80864	-	1401	60	121	115	170	231	113	583	359	791	1039	929	1946	1197	1801	2889
gene-b0073	ENA|U00096|U00096.3	80867	81958	-	1092	47	97	105	212	229	113	529	349	932	797	735	1481	966	1358	2115
gene-b0074	ENA|U00096|U00096.3	81958	83529	-	1572	30	101	90	111	164	74	294	283	684	629	649	972	528	1425	1086
gene-b0075	ENA|U00096|U00096.3	83622	83708	-	87	4	51	30	26	75	20	128	119	41	382	166	820	170	537	827
gene-b0076	ENA|U00096|U00096.3	84368	85312	+	945	2	10	7	19	29	8	44	37	463	87	113	165	39	89	73
gene-b4726	ENA|U00096|U00096.3	85467	85511	-	45	0	0	0	1	1	0	0	0	31	0	0	1	0	0	1
gene-b0077	ENA|U00096|U00096.3	85630	87354	+	1725	66	153	125	214	309	121	441	461	1187	1229	1546	2481	923	2106	1941
gene-b0078	ENA|U00096|U00096.3	87357	87848	+	492	17	34	28	53	89	28	166	136	507	332	352	581	225	573	508
gene-b0080	ENA|U00096|U00096.3	88028	89032	+	1005	184	509	407	684	1145	487	1784	1676	1429	4951	7573	10009	3375	8342	6435
gene-b0081	ENA|U00096|U00096.3	89634	90092	+	459	129	435	322	679	1044	446	1609	1574	1164	5426	7463	10442	2968	7970	6991
gene-b0082	ENA|U00096|U00096.3	90094	91035	+	942	203	695	467	725	1321	527	1850	1899	1574	6813	9146	12852	4264	9451	9241
gene-b0083	ENA|U00096|U00096.3	91032	91397	+	366	61	155	132	204	373	118	549	512	548	1717	2197	3024	1248	2446	2589
gene-b0084	ENA|U00096|U00096.3	91413	93179	+	1767	118	374	239	321	651	224	839	877	1078	3290	3931	5394	2387	4947	5654
gene-b4810	ENA|U00096|U00096.3	92485	92658	+	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b0085	ENA|U00096|U00096.3	93166	94653	+	1488	303	859	612	961	1624	664	3034	2930	2714	6501	9217	13474	5249	11494	8991
gene-b0086	ENA|U00096|U00096.3	94650	96008	+	1359	246	676	586	809	1435	669	2590	2275	1875	5297	6451	10382	4137	10578	8042
gene-b0087	ENA|U00096|U00096.3	96002	97084	+	1083	177	407	346	465	786	409	1417	1371	1618	3836	4588	7786	2565	5938	6639
gene-b0088	ENA|U00096|U00096.3	97087	98403	+	1317	241	620	557	857	1261	608	2178	1957	2090	6717	8610	13234	4837	9452	9587
gene-b0089	ENA|U00096|U00096.3	98403	99647	+	1245	137	425	325	522	853	344	1291	1224	1563	5040	6866	9420	2927	5882	6925
gene-b0090	ENA|U00096|U00096.3	99644	100711	+	1068	179	550	362	494	941	356	1346	1397	1793	4615	6561	8574	2979	5612	6449
gene-b0091	ENA|U00096|U00096.3	100765	102240	+	1476	273	867	551	867	1610	578	2343	2411	2263	7257	8444	12376	4446	9787	8995
gene-b0092	ENA|U00096|U00096.3	102233	103153	+	921	192	577	374	663	1145	451	2047	1939	1771	5101	6360	9078	3717	8759	7404
gene-b0093	ENA|U00096|U00096.3	103155	103985	+	831	124	413	300	460	893	296	1339	1366	1312	4366	5789	8209	2461	6068	6226
gene-b0094	ENA|U00096|U00096.3	103982	105244	+	1263	210	537	390	646	1218	413	1480	1716	2001	5723	7602	11235	3595	8877	7626
gene-b4840	ENA|U00096|U00096.3	104948	105499	-	552	1	0	0	2	1	1	1	1	64	2	13	8	1	8	12
gene-b0095	ENA|U00096|U00096.3	105305	106456	+	1152	867	2554	1721	3066	5413	1899	8084	8179	5709	19883	26319	36940	13892	33013	26361
gene-b0096	ENA|U00096|U00096.3	106557	107474	+	918	1478	5036	3695	5691	11707	4314	16393	17444	9623	51844	80337	103637	36210	98625	70416
gene-b0097	ENA|U00096|U00096.3	107705	108217	+	513	159	619	372	686	1355	535	1943	1892	1295	5884	8204	10818	2945	6078	5794
gene-b0098	ENA|U00096|U00096.3	108279	110984	+	2706	1233	4074	2822	7504	13916	6024	23389	20603	14566	34134	43787	47999	18233	42112	31324
gene-b0099	ENA|U00096|U00096.3	111044	111433	+	390	22	36	22	75	122	62	213	240	357	316	382	469	156	289	204
gene-b0101	ENA|U00096|U00096.3	111649	111846	-	198	20	75	60	113	228	67	330	328	376	776	887	1223	538	1289	952
gene-b0102	ENA|U00096|U00096.3	111856	112599	-	744	69	219	174	214	398	176	517	610	484	2094	2787	3471	1325	3236	2564
gene-b0103	ENA|U00096|U00096.3	112599	113219	-	621	40	178	106	184	376	121	439	501	546	2474	3381	4945	1176	2836	2985
gene-b4727	ENA|U00096|U00096.3	113244	113288	+	45	1	0	0	4	0	0	2	4	7	4	4	11	1	12	3
gene-b0104	ENA|U00096|U00096.3	113444	114487	+	1044	163	541	442	906	1367	534	2061	1788	1737	6246	8160	11643	4785	12242	8230
gene-b0106	ENA|U00096|U00096.3	114522	115724	-	1203	4	17	11	19	45	20	36	43	440	152	227	379	109	281	196
gene-b0107	ENA|U00096|U00096.3	115714	117099	-	1386	14	40	33	65	100	43	131	134	408	539	1012	1610	376	701	868
gene-b0108	ENA|U00096|U00096.3	117109	117549	-	441	1	4	0	2	6	2	7	4	121	32	60	55	12	19	27
gene-b0109	ENA|U00096|U00096.3	117752	118645	-	894	56	249	187	277	478	198	624	523	572	2243	3073	4275	1668	3885	3245
gene-b0110	ENA|U00096|U00096.3	118733	119284	+	552	25	84	60	82	197	60	170	191	314	737	1257	2093	632	1455	1452
gene-b0111	ENA|U00096|U00096.3	119281	120135	+	855	36	113	82	94	205	90	164	196	1219	1041	1863	3183	991	2424	2193
gene-b0112	ENA|U00096|U00096.3	120178	121551	-	1374	108	351	285	453	684	268	1124	924	1317	4198	4775	7513	3541	6465	6405
gene-b0113	ENA|U00096|U00096.3	122092	122856	+	765	174	747	425	656	1549	650	3152	2848	2295	4705	5931	7102	1585	2591	3739
gene-b0114	ENA|U00096|U00096.3	123017	125680	+	2664	4262	8333	8271	35740	42215	24681	67672	46384	40464	64854	52145	131093	69349	118760	181403
gene-b0115	ENA|U00096|U00096.3	125695	127587	+	1893	3789	6414	6982	26118	22611	15692	41601	23580	21251	43203	35534	95026	47980	82190	128159
gene-b0116	ENA|U00096|U00096.3	127912	129336	+	1425	2642	5874	5011	18391	20117	10134	34438	25728	18013	44743	45440	89638	38582	78889	98551
gene-b0117	ENA|U00096|U00096.3	129407	131260	-	1854	2	5	2	12	12	8	11	24	396	69	125	194	58	114	122
gene-b0118	ENA|U00096|U00096.3	131615	134212	+	2598	1947	5668	4480	15055	17581	9882	28988	23866	17617	34191	44404	79086	34795	70936	80577
gene-b0119	ENA|U00096|U00096.3	134388	134750	+	363	37	100	93	207	338	136	423	417	687	719	1009	1867	652	1506	1440
gene-b0120	ENA|U00096|U00096.3	134788	135582	-	795	222	609	452	1505	2470	1029	4062	3511	2635	5428	6863	8903	3862	9474	7498
gene-b0121	ENA|U00096|U00096.3	135598	136464	-	867	298	850	598	1809	2953	1094	4639	3886	3156	7868	10790	14330	5137	11206	10493
gene-b0122	ENA|U00096|U00096.3	136570	136917	-	348	64	207	127	217	425	156	482	475	359	3233	4908	6701	1200	2318	3201
gene-b0123	ENA|U00096|U00096.3	137083	138633	+	1551	145	782	440	488	1315	482	1124	1980	2421	3800	9823	12465	2210	12256	5696
gene-b0124	ENA|U00096|U00096.3	138835	141225	-	2391	529	1225	914	3483	5374	2450	8612	6678	5494	7367	7676	12861	6937	13136	13137
gene-b0125	ENA|U00096|U00096.3	141431	141967	+	537	195	667	504	1212	2111	887	3445	3153	2449	6706	8830	12076	4209	10744	7591
gene-b0126	ENA|U00096|U00096.3	142008	142670	-	663	377	984	736	1645	2428	1059	4491	3594	3144	12846	13880	22788	8963	17612	18538
gene-b0127	ENA|U00096|U00096.3	142779	143705	+	927	139	381	299	401	872	359	1189	1287	1598	3479	4931	7522	2023	6358	4326
gene-b0128	ENA|U00096|U00096.3	143702	144472	+	771	135	398	268	493	845	348	1294	1200	1421	2925	3926	6125	2067	5803	4202
gene-b0129	ENA|U00096|U00096.3	144577	145017	+	441	21	62	38	83	188	64	212	215	587	687	1047	1733	413	1048	975
gene-b0130	ENA|U00096|U00096.3	145081	146310	+	1230	29	100	63	80	227	72	241	255	671	1023	1831	2693	577	1277	1276
gene-b0131	ENA|U00096|U00096.3	146314	146694	-	381	323	870	625	1181	1907	763	2660	2675	1557	7302	10329	13365	6060	17179	14348
gene-b0132	ENA|U00096|U00096.3	146968	147870	+	903	3	22	10	21	48	13	49	66	700	124	231	352	86	168	153
gene-b0133	ENA|U00096|U00096.3	147944	148795	-	852	228	753	530	1026	1758	703	2355	2220	1751	7035	10704	14230	5302	13392	11428
gene-b0134	ENA|U00096|U00096.3	148807	149601	-	795	154	561	397	865	1257	471	2033	1759	1501	5022	7769	10944	3717	9198	7600
gene-b0135	ENA|U00096|U00096.3	149715	150953	-	1239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b0136	ENA|U00096|U00096.3	151003	151599	-	597	0	0	0	1	2	0	2	2	55	5	9	10	3	1	5
gene-b0137	ENA|U00096|U00096.3	151626	152231	-	606	0	0	0	0	2	0	1	3	43	9	8	10	4	7	4
gene-b0138	ENA|U00096|U00096.3	152243	152812	-	570	0	5	0	3	8	0	9	13	112	24	27	40	13	23	23
gene-b0139	ENA|U00096|U00096.3	152829	155426	-	2598	1	6	2	7	15	5	29	33	475	43	48	60	16	39	47
gene-b0140	ENA|U00096|U00096.3	155461	156201	-	741	1	1	0	3	10	3	13	12	165	12	15	15	2	15	7
gene-b0141	ENA|U00096|U00096.3	156299	156883	-	585	1	6	1	3	20	5	41	55	141	26	41	37	17	19	17
gene-b0142	ENA|U00096|U00096.3	157253	157732	-	480	5	55	42	59	122	39	211	174	180	332	317	392	292	570	343
gene-b0143	ENA|U00096|U00096.3	157729	159126	-	1398	395	1635	1013	1498	2847	1125	5169	4883	3645	12574	14334	17560	7543	15806	11409
gene-b0144	ENA|U00096|U00096.3	159186	160112	-	927	24	70	56	72	183	83	397	337	438	618	673	838	360	666	612
gene-b0145	ENA|U00096|U00096.3	160149	160604	-	456	418	1356	1066	2801	4032	1691	6801	5856	3556	11509	13535	21284	8980	21998	21263
gene-b0146	ENA|U00096|U00096.3	160782	161486	-	705	21	41	48	68	153	47	121	159	244	567	724	1081	354	955	755
gene-b0147	ENA|U00096|U00096.3	161501	162031	-	531	23	52	37	60	112	49	150	153	182	624	780	1115	356	840	939
gene-b0148	ENA|U00096|U00096.3	162105	164534	+	2430	80	328	220	344	622	252	907	866	1707	2649	3751	4675	1868	4001	3996
gene-b0149	ENA|U00096|U00096.3	164730	167264	+	2535	205	511	406	707	1260	502	2236	2162	2212	4936	6110	8191	3056	8081	6762
gene-b0150	ENA|U00096|U00096.3	167484	169727	+	2244	43	118	85	183	324	154	508	563	929	1196	1693	3171	1428	2802	6294
gene-b0151	ENA|U00096|U00096.3	169778	170575	+	798	14	40	38	46	91	34	114	111	335	457	711	1072	330	678	1294
